user,pre_avg_nec_time,pre_norm_avg_nec_time,pre_std_nec_time,pre_norm_std_nec_time,pre_link_choice_clicked,pre_narrative_element_change,pre_link_choice_ratio
58d24c72-4c07-4b11-bb67-f807a1927c6e,43.406,0.659,22.158,0.377,5,6,0.833
f539ccb6-6ba5-41ef-9e81-8a68126a6533,51.536,0.741,16.188,0.388,6,6,1.0
d55d5e45-503b-4245-a668-16e63758e9f8,62.805,0.786,15.224,0.403,9,6,1.5
1ea7370c-e9bf-4b40-9d06-1a8e58974454,53.688,0.751,13.933,0.388,9,6,1.5
4fe3d3ea-2cbb-4334-8491-200a4b308fe6,64.89,0.761,13.192,0.388,5,6,0.833
198b3005-99f4-41b8-b500-b08389e49061,93.414,1.262,92.651,1.213,6,6,1.0
0462537a-b4c9-4824-acf6-1bff7b05a34f,56.895,0.793,12.41,0.4,5,6,0.833
3edeec9e-6ce3-4048-9823-1ddda43807f5,92.861,1.119,57.531,0.809,7,6,1.167
ff0d6db3-0d1e-4476-9f04-646142e32211,62.822,0.8,19.551,0.401,24,6,4.0
3bb9e37a-e049-4d58-a26d-ea6886f29071,53.402,0.757,14.313,0.388,6,6,1.0
6db931bb-d03e-4ed7-b51e-9e7a8baac7c0,14.624,0.199,4.545,0.125,9,6,1.5
1298acda-52a9-447c-a11e-ff0e92a6db70,52.223,0.744,15.409,0.387,5,6,0.833
19ba9844-b8a5-4fb1-a689-394fe79e8fc0,49.681,0.58,5.915,0.299,29,6,4.833
71fe9892-d4c2-4566-be2e-a02e933d4fdf,33.069,0.424,10.944,0.275,8,6,1.333
478a6312-6ec9-423a-9134-42f6be0b3fc5,52.119,0.743,15.743,0.389,14,6,2.333
531849de-2e55-450f-9e66-0ec92bcde7fe,55.68,0.759,13.023,0.395,5,6,0.833
2089077d-e47e-44f3-ac57-cf6389f989a6,82.954,1.243,37.425,0.88,6,6,1.0
ef1673d9-b886-4be4-b765-137394cdd3c5,56.216,0.779,18.517,0.416,6,6,1.0
33006e23-0ec5-4f61-83fa-f8a0edb47484,63.524,0.801,19.821,0.401,4,6,0.667
85e8b093-6783-43dd-83e5-eefdad86f045,60.278,0.766,13.404,0.4,10,6,1.667
e126ed62-6561-42d4-a922-82e10fe3f179,59.852,0.796,9.97,0.4,6,6,1.0
7a76ffe8-7254-41b3-a997-bf789908f952,52.035,0.75,16.391,0.392,23,6,3.833
28a2b8f7-27de-4ee3-9486-630cd37e42bb,52.392,0.745,15.462,0.392,5,6,0.833
993c03a4-d843-48f3-8adf-eb6baf87b2a5,57.075,0.795,14.425,0.413,36,6,6.0
943afb9d-cda6-457c-8183-deff541a7812,54.868,0.776,14.099,0.396,11,6,1.833
4ad0e457-685d-4b2f-b3c0-2b61a45a7c15,64.167,0.783,14.905,0.4,5,6,0.833
e63b0117-b839-4ddf-8523-cfc52c6013b4,54.185,0.752,13.586,0.389,12,6,2.0
09159cee-e83a-48b5-afec-8c079d27303f,56.297,0.763,12.93,0.396,8,6,1.333
a41dd516-a413-4b8e-8031-fc9158739040,55.694,0.768,15.176,0.403,9,6,1.5
12842c0e-4e43-4455-9d8d-6cca4d8bd4b3,52.368,0.742,15.465,0.39,5,6,0.833
4f652ac2-5cd0-4384-a576-6e3c2deecc19,124.834,0.647,151.025,0.37,5,6,0.833
9436481d-71d0-46aa-a66f-4c9ec1de1972,60.965,0.667,24.845,0.373,7,6,1.167
51013a36-54a2-40af-9605-29e84131bd42,57.18,0.757,11.574,0.39,5,6,0.833
70b4dd5e-0be1-4465-8e9e-1793961ac9a4,42.923,0.28,42.539,0.175,5,6,0.833
a01f65e2-dc83-43d9-a67d-ae05c3fffa5f,17.759,0.245,6.739,0.149,6,6,1.0
8a5e15c2-9cca-4725-8ed9-ca439ce88750,53.817,0.757,14.402,0.391,5,6,0.833
46f950bb-ab28-4c4d-9d5b-a526a3eea414,68.593,0.844,16.25,0.429,6,6,1.0
752b861c-85b7-44e9-a92b-ce8a6bc3cab6,53.952,0.75,14.529,0.394,6,6,1.0
2394f452-4828-4969-91d7-b06e8ba6cb13,75.085,0.948,29.374,0.509,4,6,0.667
1bb4f7d4-7cb7-462a-a401-941829244e50,55.286,0.76,13.363,0.394,9,6,1.5
eb997f3b-519b-433f-a7eb-99658d3041b8,63.478,0.774,15.406,0.391,6,6,1.0
971bcebc-2958-480e-992d-346a65517df0,46.195,0.612,24.756,0.393,4,7,0.571
52c3cda8-2dd6-4245-a24f-5967a2a1d2d9,66.952,0.803,16.012,0.402,4,6,0.667
7a1ad30c-cef8-40b3-ac3c-9d4aea69712f,52.86,0.75,14.774,0.388,6,6,1.0
8806a9fc-4cde-4450-ae16-7b63a9c92d23,51.522,0.61,17.689,0.41,2,6,0.333
35efad0b-ae88-40ac-81b8-33f79db65061,55.067,0.767,13.954,0.397,7,6,1.167
58e189d1-cd88-4cb2-8e77-a67d477a3835,55.741,0.807,14.624,0.405,22,6,3.667
e3150905-4f6e-4fd1-ac67-e87a5ba088d7,59.929,0.742,14.477,0.389,5,6,0.833
3fbe343e-ffc3-4951-96a9-36e999346aea,25.076,0.341,12.133,0.224,7,6,1.167
0996e481-eacf-4b2a-b1d2-cba7e956af97,59.395,0.754,17.704,0.403,8,6,1.333
17ea16b3-dd25-4d47-b687-f83c4671a4d1,58.456,0.745,13.122,0.389,6,6,1.0
17c83417-b239-4487-84e1-ef05050eaf66,54.327,0.743,13.608,0.389,5,6,0.833
10d72cee-7458-4803-96e3-192d6a741ccc,60.129,0.769,13.722,0.404,5,6,0.833
a11ab242-5268-4904-84c3-9cf50e3f0fea,59.694,0.76,12.991,0.394,6,6,1.0
010dbd36-dbfa-457e-a7a4-252ed11ce56a,63.697,0.752,16.085,0.389,9,6,1.5
6ac6a687-a6ca-4669-8834-da00a02d12c6,53.699,0.747,14.172,0.391,5,6,0.833
c9292753-bc1b-4b7e-9218-1e5aba688206,48.797,0.739,19.942,0.389,6,6,1.0
f4223475-939c-4d8d-a17d-d76ec75ca022,52.81,0.742,15.092,0.39,5,6,0.833
02b9b257-af12-4e23-ac14-01ac51187013,60.535,0.829,15.269,0.444,5,6,0.833
b83f4db3-ed86-4279-a398-d01ddb9f9e90,55.964,0.745,12.38,0.39,5,6,0.833
1595f78d-8378-445c-b529-d64ca0abe840,55.921,0.773,13.215,0.398,13,6,2.167
aa4cfb21-0e04-4a9d-a34b-70e423484504,30.521,0.399,19.965,0.249,4,6,0.667
469906a5-5882-4558-878c-720ee100d75b,59.441,0.761,18.85,0.388,5,6,0.833
ba80e6d6-52c8-4473-8c4d-5d36d514df08,57.497,0.766,18.288,0.397,13,6,2.167
5a8a025b-c85c-4fdd-a67c-b63867a06c64,61.431,0.777,17.882,0.397,4,6,0.667
9f502448-3352-4448-ad68-055bff12346b,55.475,0.745,13.208,0.391,5,6,0.833
c2ef45e7-f260-4220-aace-28a145210495,51.504,0.746,16.314,0.387,6,6,1.0
c0b66a4b-a77c-4f2b-ab21-cc5babf2fdfc,54.549,0.774,14.615,0.397,5,6,0.833
8614ee93-a9de-4337-b13a-4cbd99f60e3e,38.052,0.464,17.431,0.283,10,6,1.667
388a0794-46ff-4616-8eba-ba87c3770d83,54.192,0.764,15.374,0.402,13,6,2.167
83e0a721-4e6c-401e-9b0b-8aaceadf39c4,55.832,0.757,13.136,0.397,16,6,2.667
3664c09f-5207-4160-b7fd-7f5247add83c,54.843,0.773,15.199,0.405,5,6,0.833
ad66e88e-4837-4d37-a8a3-b5d83067b5ab,83.269,1.162,67.116,0.899,5,6,0.833
f4a501e4-635b-4288-875c-37659c55189c,59.94,0.789,12.545,0.408,5,6,0.833
